HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,dt,h
2022-07-29 10:00:00,2022-07-29 12:00:00,DK2,2936.149902,394.440002,2022-07-29,12
2022-07-29 11:00:00,2022-07-29 13:00:00,DK2,2727.800049,366.450012,2022-07-29,13
2022-07-29 12:00:00,2022-07-29 14:00:00,DK2,2717.300049,365.040009,2022-07-29,14
2022-07-29 13:00:00,2022-07-29 15:00:00,DK2,3008.429932,404.149994,2022-07-29,15
2022-07-29 14:00:00,2022-07-29 16:00:00,DK2,3030.23999,407.079987,2022-07-29,16
2022-07-29 15:00:00,2022-07-29 17:00:00,DK2,3435.48999,461.519989,2022-07-29,17
2022-07-29 16:00:00,2022-07-29 18:00:00,DK2,3646.52002,489.869995,2022-07-29,18
2022-07-29 17:00:00,2022-07-29 19:00:00,DK2,3815.050049,512.51001,2022-07-29,19
2022-07-29 18:00:00,2022-07-29 20:00:00,DK2,3754.159912,504.329987,2022-07-29,20
2022-07-29 19:00:00,2022-07-29 21:00:00,DK2,3609.820068,484.940002,2022-07-29,21
2022-07-29 20:00:00,2022-07-29 22:00:00,DK2,3431.320068,460.959991,2022-07-29,22
2022-07-29 21:00:00,2022-07-29 23:00:00,DK2,3162.669922,424.869995,2022-07-29,23
2022-07-29 22:00:00,2022-07-30 00:00:00,DK2,3163.47998,425.0,2022-07-30,0
2022-07-29 23:00:00,2022-07-30 01:00:00,DK2,1474.780029,198.130005,2022-07-30,1
2022-07-30 00:00:00,2022-07-30 02:00:00,DK2,1474.329956,198.070007,2022-07-30,2
2022-07-30 01:00:00,2022-07-30 03:00:00,DK2,1474.410034,198.080002,2022-07-30,3
2022-07-30 02:00:00,2022-07-30 04:00:00,DK2,1474.47998,198.089996,2022-07-30,4
2022-07-30 03:00:00,2022-07-30 05:00:00,DK2,1474.560059,198.100006,2022-07-30,5
2022-07-30 04:00:00,2022-07-30 06:00:00,DK2,3027.860107,406.779999,2022-07-30,6
2022-07-30 05:00:00,2022-07-30 07:00:00,DK2,3148.75,423.019989,2022-07-30,7
2022-07-30 06:00:00,2022-07-30 08:00:00,DK2,3072.080078,412.720001,2022-07-30,8
2022-07-30 07:00:00,2022-07-30 09:00:00,DK2,2892.909912,388.649994,2022-07-30,9
2022-07-30 08:00:00,2022-07-30 10:00:00,DK2,2497.139893,335.480011,2022-07-30,10
2022-07-30 09:00:00,2022-07-30 11:00:00,DK2,2296.610107,308.540009,2022-07-30,11
2022-07-30 10:00:00,2022-07-30 12:00:00,DK2,1998.280029,268.459991,2022-07-30,12
2022-07-30 11:00:00,2022-07-30 13:00:00,DK2,1762.469971,236.779999,2022-07-30,13
2022-07-30 12:00:00,2022-07-30 14:00:00,DK2,1844.349976,247.779999,2022-07-30,14
2022-07-30 13:00:00,2022-07-30 15:00:00,DK2,2171.48999,291.730011,2022-07-30,15
2022-07-30 14:00:00,2022-07-30 16:00:00,DK2,2355.340088,316.429993,2022-07-30,16
2022-07-30 15:00:00,2022-07-30 17:00:00,DK2,2891.350098,388.440002,2022-07-30,17
2022-07-30 16:00:00,2022-07-30 18:00:00,DK2,3169.879883,425.859985,2022-07-30,18
2022-07-30 17:00:00,2022-07-30 19:00:00,DK2,3380.459961,454.149994,2022-07-30,19
2022-07-30 18:00:00,2022-07-30 20:00:00,DK2,3481.389893,467.709991,2022-07-30,20
2022-07-30 19:00:00,2022-07-30 21:00:00,DK2,3473.800049,466.690002,2022-07-30,21
2022-07-30 20:00:00,2022-07-30 22:00:00,DK2,3470.449951,466.23999,2022-07-30,22
2022-07-30 21:00:00,2022-07-30 23:00:00,DK2,3289.5,441.929993,2022-07-30,23
