HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,dt,h
2022-09-29 21:00:00,2022-09-29 23:00:00,DK2,2784.679932,374.459991,2022-09-29,23
2022-09-29 20:00:00,2022-09-29 22:00:00,DK2,2952.530029,397.029999,2022-09-29,22
2022-09-29 19:00:00,2022-09-29 21:00:00,DK2,3160.449951,424.98999,2022-09-29,21
2022-09-29 18:00:00,2022-09-29 20:00:00,DK2,3867.0,520.0,2022-09-29,20
2022-09-29 17:00:00,2022-09-29 19:00:00,DK2,4499.100098,605.0,2022-09-29,19
2022-09-29 16:00:00,2022-09-29 18:00:00,DK2,3890.719971,523.190002,2022-09-29,18
2022-09-29 15:00:00,2022-09-29 17:00:00,DK2,3309.330078,445.01001,2022-09-29,17
2022-09-29 14:00:00,2022-09-29 16:00:00,DK2,2898.389893,389.75,2022-09-29,16
2022-09-29 13:00:00,2022-09-29 15:00:00,DK2,2743.629883,368.940002,2022-09-29,15
2022-09-29 12:00:00,2022-09-29 14:00:00,DK2,2498.600098,335.98999,2022-09-29,14
2022-09-29 11:00:00,2022-09-29 13:00:00,DK2,2560.030029,344.25,2022-09-29,13
2022-09-29 10:00:00,2022-09-29 12:00:00,DK2,2937.280029,394.980011,2022-09-29,12
2022-09-29 09:00:00,2022-09-29 11:00:00,DK2,2809.969971,377.859985,2022-09-29,11
2022-09-29 08:00:00,2022-09-29 10:00:00,DK2,3297.209961,443.380005,2022-09-29,10
2022-09-29 07:00:00,2022-09-29 09:00:00,DK2,3556.149902,478.200012,2022-09-29,9
2022-09-29 06:00:00,2022-09-29 08:00:00,DK2,4338.77002,583.440002,2022-09-29,8
2022-09-29 05:00:00,2022-09-29 07:00:00,DK2,4238.299805,569.929993,2022-09-29,7
2022-09-29 04:00:00,2022-09-29 06:00:00,DK2,3272.590088,440.070007,2022-09-29,6
2022-09-29 03:00:00,2022-09-29 05:00:00,DK2,2569.540039,345.529999,2022-09-29,5
2022-09-29 02:00:00,2022-09-29 04:00:00,DK2,2379.689941,320.0,2022-09-29,4
2022-09-29 01:00:00,2022-09-29 03:00:00,DK2,2343.919922,315.190002,2022-09-29,3
2022-09-29 00:00:00,2022-09-29 02:00:00,DK2,2425.350098,326.140015,2022-09-29,2
2022-09-28 23:00:00,2022-09-29 01:00:00,DK2,2502.469971,336.51001,2022-09-29,1
2022-09-28 22:00:00,2022-09-29 00:00:00,DK2,2613.570068,351.450012,2022-09-29,0
2022-09-28 21:00:00,2022-09-28 23:00:00,DK2,2690.429932,361.799988,2022-09-28,23
2022-09-28 20:00:00,2022-09-28 22:00:00,DK2,2770.810059,372.609985,2022-09-28,22
2022-09-28 19:00:00,2022-09-28 21:00:00,DK2,3123.139893,419.98999,2022-09-28,21
2022-09-28 18:00:00,2022-09-28 20:00:00,DK2,3792.47998,510.0,2022-09-28,20
2022-09-28 17:00:00,2022-09-28 19:00:00,DK2,4762.310059,640.419983,2022-09-28,19
2022-09-28 16:00:00,2022-09-28 18:00:00,DK2,3798.350098,510.790009,2022-09-28,18
2022-09-28 15:00:00,2022-09-28 17:00:00,DK2,3239.149902,435.589996,2022-09-28,17
2022-09-28 14:00:00,2022-09-28 16:00:00,DK2,2862.800049,384.980011,2022-09-28,16
2022-09-28 13:00:00,2022-09-28 15:00:00,DK2,2661.5,357.910004,2022-09-28,15
2022-09-28 12:00:00,2022-09-28 14:00:00,DK2,2467.340088,331.799988,2022-09-28,14
2022-09-28 11:00:00,2022-09-28 13:00:00,DK2,2576.280029,346.450012,2022-09-28,13
2022-09-28 10:00:00,2022-09-28 12:00:00,DK2,2630.639893,353.76001,2022-09-28,12
2022-09-28 09:00:00,2022-09-28 11:00:00,DK2,2934.340088,394.600006,2022-09-28,11
2022-09-28 08:00:00,2022-09-28 10:00:00,DK2,3048.629883,409.970001,2022-09-28,10
2022-09-28 07:00:00,2022-09-28 09:00:00,DK2,3196.909912,429.910004,2022-09-28,9
2022-09-28 06:00:00,2022-09-28 08:00:00,DK2,3720.939941,500.380005,2022-09-28,8
2022-09-28 05:00:00,2022-09-28 07:00:00,DK2,3514.590088,472.630005,2022-09-28,7
2022-09-28 04:00:00,2022-09-28 06:00:00,DK2,2849.340088,383.170013,2022-09-28,6
2022-09-28 03:00:00,2022-09-28 05:00:00,DK2,2283.889893,307.130005,2022-09-28,5
2022-09-28 02:00:00,2022-09-28 04:00:00,DK2,2035.819946,273.769989,2022-09-28,4
2022-09-28 01:00:00,2022-09-28 03:00:00,DK2,1806.859985,242.979996,2022-09-28,3
2022-09-28 00:00:00,2022-09-28 02:00:00,DK2,1828.869995,245.940002,2022-09-28,2
2022-09-27 23:00:00,2022-09-28 01:00:00,DK2,2050.76001,275.779999,2022-09-28,1
2022-09-27 22:00:00,2022-09-28 00:00:00,DK2,2278.610107,306.420013,2022-09-28,0
2022-09-27 21:00:00,2022-09-27 23:00:00,DK2,2377.360107,319.709991,2022-09-27,23
2022-09-27 20:00:00,2022-09-27 22:00:00,DK2,2481.310059,333.690002,2022-09-27,22
2022-09-27 19:00:00,2022-09-27 21:00:00,DK2,2613.22998,351.429993,2022-09-27,21
2022-09-27 18:00:00,2022-09-27 20:00:00,DK2,2978.26001,400.519989,2022-09-27,20
2022-09-27 17:00:00,2022-09-27 19:00:00,DK2,3115.600098,418.98999,2022-09-27,19
2022-09-27 16:00:00,2022-09-27 18:00:00,DK2,2836.830078,381.5,2022-09-27,18
2022-09-27 15:00:00,2022-09-27 17:00:00,DK2,2716.360107,365.299988,2022-09-27,17
2022-09-27 14:00:00,2022-09-27 16:00:00,DK2,2292.439941,308.290009,2022-09-27,16
2022-09-27 13:00:00,2022-09-27 15:00:00,DK2,2195.179932,295.209991,2022-09-27,15
2022-09-27 12:00:00,2022-09-27 14:00:00,DK2,2146.399902,288.649994,2022-09-27,14
2022-09-27 11:00:00,2022-09-27 13:00:00,DK2,2180.75,293.269989,2022-09-27,13
2022-09-27 10:00:00,2022-09-27 12:00:00,DK2,2240.97998,301.369995,2022-09-27,12
2022-09-27 09:00:00,2022-09-27 11:00:00,DK2,2612.780029,351.369995,2022-09-27,11
2022-09-27 08:00:00,2022-09-27 10:00:00,DK2,2727.959961,366.859985,2022-09-27,10
2022-09-27 07:00:00,2022-09-27 09:00:00,DK2,3065.780029,412.290009,2022-09-27,9
2022-09-27 06:00:00,2022-09-27 08:00:00,DK2,3297.929932,443.51001,2022-09-27,8
2022-09-27 05:00:00,2022-09-27 07:00:00,DK2,3093.0,415.950012,2022-09-27,7
2022-09-27 04:00:00,2022-09-27 06:00:00,DK2,2435.129883,327.480011,2022-09-27,6
2022-09-27 03:00:00,2022-09-27 05:00:00,DK2,1561.329956,209.970001,2022-09-27,5
2022-09-27 02:00:00,2022-09-27 04:00:00,DK2,1244.410034,167.350006,2022-09-27,4
2022-09-27 01:00:00,2022-09-27 03:00:00,DK2,1125.060059,151.300003,2022-09-27,3
2022-09-27 00:00:00,2022-09-27 02:00:00,DK2,1262.630005,169.800003,2022-09-27,2
2022-09-26 23:00:00,2022-09-27 01:00:00,DK2,1340.26001,180.240005,2022-09-27,1
2022-09-26 22:00:00,2022-09-27 00:00:00,DK2,1419.900024,190.949997,2022-09-27,0
