HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,Date,Hour
2020-12-31 23:00:00,2021-01-01 00:00:00,DK2,378.519989,50.869999,2021-01-01,0
2021-01-01 00:00:00,2021-01-01 01:00:00,DK2,358.579987,48.189999,2021-01-01,1
2021-01-01 01:00:00,2021-01-01 02:00:00,DK2,332.459991,44.68,2021-01-01,2
2021-01-01 02:00:00,2021-01-01 03:00:00,DK2,319.369995,42.919998,2021-01-01,3
2021-01-01 03:00:00,2021-01-01 04:00:00,DK2,300.540009,40.389999,2021-01-01,4
2021-01-01 04:00:00,2021-01-01 05:00:00,DK2,299.130005,40.200001,2021-01-01,5
2021-01-01 05:00:00,2021-01-01 06:00:00,DK2,294.890015,39.630001,2021-01-01,6
2021-01-01 06:00:00,2021-01-01 07:00:00,DK2,298.309998,40.09,2021-01-01,7
2021-01-01 07:00:00,2021-01-01 08:00:00,DK2,307.089996,41.27,2021-01-01,8
2021-01-01 08:00:00,2021-01-01 09:00:00,DK2,333.950012,44.880001,2021-01-01,9
2021-01-01 09:00:00,2021-01-01 10:00:00,DK2,334.850006,45.0,2021-01-01,10
2021-01-01 10:00:00,2021-01-01 11:00:00,DK2,351.220001,47.200001,2021-01-01,11
2021-01-01 11:00:00,2021-01-01 12:00:00,DK2,377.850006,50.779999,2021-01-01,12
2021-01-01 12:00:00,2021-01-01 13:00:00,DK2,338.48999,45.490002,2021-01-01,13
2021-01-01 13:00:00,2021-01-01 14:00:00,DK2,332.839996,44.73,2021-01-01,14
2021-01-01 14:00:00,2021-01-01 15:00:00,DK2,346.679993,46.59,2021-01-01,15
2021-01-01 15:00:00,2021-01-01 16:00:00,DK2,394.299988,52.990002,2021-01-01,16
2021-01-01 16:00:00,2021-01-01 17:00:00,DK2,448.390015,60.259998,2021-01-01,17
2021-01-01 17:00:00,2021-01-01 18:00:00,DK2,451.0,60.610001,2021-01-01,18
2021-01-01 18:00:00,2021-01-01 19:00:00,DK2,449.140015,60.360001,2021-01-01,19
2021-01-01 19:00:00,2021-01-01 20:00:00,DK2,427.109985,57.400002,2021-01-01,20
2021-01-01 20:00:00,2021-01-01 21:00:00,DK2,400.769989,53.860001,2021-01-01,21
2021-01-01 21:00:00,2021-01-01 22:00:00,DK2,397.720001,53.450001,2021-01-01,22
2021-01-01 22:00:00,2021-01-01 23:00:00,DK2,369.970001,49.720001,2021-01-01,23
2021-01-01 23:00:00,2021-01-02 00:00:00,DK2,347.420013,46.689999,2021-01-02,0
2021-01-02 00:00:00,2021-01-02 01:00:00,DK2,315.720001,42.43,2021-01-02,1
2021-01-02 01:00:00,2021-01-02 02:00:00,DK2,305.75,41.09,2021-01-02,2
2021-01-02 02:00:00,2021-01-02 03:00:00,DK2,297.640015,40.0,2021-01-02,3
2021-01-02 03:00:00,2021-01-02 04:00:00,DK2,279.410004,37.549999,2021-01-02,4
2021-01-02 04:00:00,2021-01-02 05:00:00,DK2,290.200012,39.0,2021-01-02,5
2021-01-02 05:00:00,2021-01-02 06:00:00,DK2,313.190002,42.09,2021-01-02,6
2021-01-02 06:00:00,2021-01-02 07:00:00,DK2,334.549988,44.959999,2021-01-02,7
2021-01-02 07:00:00,2021-01-02 08:00:00,DK2,360.519989,48.450001,2021-01-02,8
2021-01-02 08:00:00,2021-01-02 09:00:00,DK2,386.929993,52.0,2021-01-02,9
2021-01-02 09:00:00,2021-01-02 10:00:00,DK2,386.929993,52.0,2021-01-02,10
2021-01-02 10:00:00,2021-01-02 11:00:00,DK2,388.049988,52.150002,2021-01-02,11
2021-01-02 11:00:00,2021-01-02 12:00:00,DK2,416.320007,55.950001,2021-01-02,12
2021-01-02 12:00:00,2021-01-02 13:00:00,DK2,386.929993,52.0,2021-01-02,13
2021-01-02 13:00:00,2021-01-02 14:00:00,DK2,377.179993,50.689999,2021-01-02,14
2021-01-02 14:00:00,2021-01-02 15:00:00,DK2,397.720001,53.450001,2021-01-02,15
2021-01-02 15:00:00,2021-01-02 16:00:00,DK2,446.390015,59.990002,2021-01-02,16
2021-01-02 16:00:00,2021-01-02 17:00:00,DK2,461.339996,62.0,2021-01-02,17
2021-01-02 17:00:00,2021-01-02 18:00:00,DK2,469.380005,63.080002,2021-01-02,18
2021-01-02 18:00:00,2021-01-02 19:00:00,DK2,462.609985,62.169998,2021-01-02,19
2021-01-02 19:00:00,2021-01-02 20:00:00,DK2,446.679993,60.029999,2021-01-02,20
2021-01-02 20:00:00,2021-01-02 21:00:00,DK2,409.480011,55.029999,2021-01-02,21
2021-01-02 21:00:00,2021-01-02 22:00:00,DK2,388.790009,52.25,2021-01-02,22
2021-01-02 22:00:00,2021-01-02 23:00:00,DK2,360.519989,48.450001,2021-01-02,23
