Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,7,11.3,0.0,7,0.0,0.0
1,1,1,0,0,7.1,12.7,0.0,7,0.0,0.0
1,1,2,0,0,7.2,14,0.0,7,0.0,0.0
1,1,3,0,0,7.4,15.4,0.0,7,0.0,0.0
1,1,4,0,0,7.6,15.4,0.0,8,0.0,0.0
1,1,5,0,0,7.8,15.4,0.0,8,0.0,0.0
1,1,6,0,0,7.9,15.4,0.0,8,0.0,0.0
1,1,7,0,0,8.1,15.1,0.0,8,0.0,0.0
1,1,8,0,0,8.4,14.7,0.0,8,0.0,0.0
1,1,9,0,10,8.6,14.4,8.5,8,8.4,3.2
1,1,10,38,50,8.3,14.4,85.4,8,83.8,77.0
1,1,11,163,77,8.1,14.4,250.5,10,244.4,233.8
1,1,12,334,65,7.8,14.4,382.8,12,371.6,357.3
1,1,13,211,70,7,12.7,271.7,10,265.0,253.8
1,1,14,148,38,6.3,11,163.0,8,159.2,150.8
1,1,15,0,10,5.5,9.3,8.8,5,8.8,3.5
1,1,16,0,0,5.3,9.6,0.0,5,0.0,0.0
1,1,17,0,0,5.1,10,0.0,5,0.0,0.0
1,1,18,0,0,4.9,10.3,0.0,5,0.0,0.0
1,1,19,0,0,4.8,9.6,0.0,5,0.0,0.0
1,1,20,0,0,4.7,8.9,0.0,5,0.0,0.0
1,1,21,0,0,4.6,8.2,0.0,5,0.0,0.0
1,1,22,0,0,4.9,8.2,0.0,5,0.0,0.0
1,1,23,0,0,5.1,8.2,0.0,5,0.0,0.0
1,2,0,0,0,5.4,8.2,0.0,5,0.0,0.0
1,2,1,0,0,5.5,8.9,0.0,6,0.0,0.0
1,2,2,0,0,5.6,9.6,0.0,6,0.0,0.0
1,2,3,0,0,5.7,10.3,0.0,6,0.0,0.0
1,2,4,0,0,5.6,12.2,0.0,6,0.0,0.0
1,2,5,0,0,5.6,14,0.0,6,0.0,0.0
1,2,6,0,0,5.5,15.9,0.0,6,0.0,0.0
1,2,7,0,0,4.7,14.7,0.0,5,0.0,0.0
1,2,8,0,1,3.9,13.5,0.9,3,0.9,0.0
1,2,9,37,27,3.1,12.3,62.7,3,62.2,55.9
1,2,10,49,77,3.8,11.6,150.6,5,149.6,141.4
1,2,11,307,68,4.4,11,362.3,9,355.2,341.3
1,2,12,389,60,5.1,10.3,418.5,10,407.7,392.2
1,2,13,285,61,4.9,10,325.8,9,318.5,305.7
1,2,14,160,38,4.7,9.6,185.1,7,181.5,172.5
1,2,15,0,10,4.5,9.3,8.8,4,8.8,3.6
1,2,16,0,0,4.4,8.9,0.0,4,0.0,0.0
1,2,17,0,0,4.2,8.6,0.0,4,0.0,0.0
1,2,18,0,0,4.1,8.2,0.0,4,0.0,0.0
1,2,19,0,0,4.1,8.2,0.0,4,0.0,0.0
1,2,20,0,0,4.2,8.2,0.0,4,0.0,0.0
1,2,21,0,0,4.2,8.2,0.0,4,0.0,0.0
1,2,22,0,0,3.9,9.6,0.0,4,0.0,0.0
1,2,23,0,0,3.7,10.9,0.0,4,0.0,0.0
1,3,0,0,0,3.4,12.3,0.0,3,0.0,0.0
1,3,1,0,0,4.6,12.3,0.0,5,0.0,0.0
1,3,2,0,0,5.9,12.3,0.0,6,0.0,0.0
1,3,3,0,0,7.1,12.3,0.0,7,0.0,0.0
1,3,4,0,0,7,12,0.0,7,0.0,0.0
1,3,5,0,0,7,11.6,0.0,7,0.0,0.0
1,3,6,0,0,6.9,11.3,0.0,7,0.0,0.0
1,3,7,0,0,6.3,11.3,0.0,6,0.0,0.0
1,3,8,0,1,5.7,11.3,0.9,5,0.9,0.0
1,3,9,0,17,5.1,11.3,14.6,4,14.5,9.1
1,3,10,199,43,4.3,12,227.3,6,223.9,213.8
1,3,11,273,73,3.5,12.7,343.2,7,338.1,324.8
1,3,12,359,69,2.7,13.4,408.8,7,402.9,387.5
1,3,13,296,58,3.2,14.6,329.6,6,325.1,312.1
1,3,14,57,44,3.6,15.8,104.9,4,104.1,96.9
1,3,15,0,7,4.1,17,6.2,3,6.2,1.0
1,3,16,0,0,4,16.6,0.0,4,0.0,0.0
1,3,17,0,0,3.9,16.3,0.0,4,0.0,0.0
1,3,18,0,0,3.8,15.9,0.0,4,0.0,0.0
1,3,19,0,0,3.7,15.4,0.0,4,0.0,0.0
1,3,20,0,0,3.7,14.9,0.0,4,0.0,0.0
1,3,21,0,0,3.6,14.4,0.0,4,0.0,0.0
1,3,22,0,0,3.4,14.1,0.0,3,0.0,0.0
1,3,23,0,0,3.3,13.7,0.0,3,0.0,0.0
1,4,0,0,0,3.1,13.4,0.0,3,0.0,0.0
1,4,1,0,0,3,13.4,0.0,3,0.0,0.0
1,4,2,0,0,2.9,13.4,0.0,3,0.0,0.0
1,4,3,0,0,2.8,13.4,0.0,3,0.0,0.0
1,4,4,0,0,2.4,12,0.0,2,0.0,0.0
1,4,5,0,0,2,10.7,0.0,2,0.0,0.0
1,4,6,0,0,1.6,9.3,0.0,2,0.0,0.0
1,4,7,0,0,2.1,8.9,0.0,2,0.0,0.0
1,4,8,0,1,2.5,8.6,0.9,1,0.9,0.0
1,4,9,88,28,3,8.2,103.6,3,102.3,95.2
1,4,10,62,83,3.5,7.9,173.0,5,171.6,162.9
1,4,11,397,58,4,7.5,420.7,10,409.7,394.1
1,4,12,320,79,4.5,7.2,392.5,11,381.9,367.2
1,4,13,307,62,4.3,7.2,344.0,10,335.4,322.2
1,4,14,179,40,4,7.2,200.3,7,196.4,187.0
1,4,15,0,12,3.8,7.2,10.6,3,10.6,5.3
1,4,16,0,0,3.2,6.9,0.0,3,0.0,0.0
1,4,17,0,0,2.5,6.5,0.0,3,0.0,0.0
1,4,18,0,0,1.9,6.2,0.0,2,0.0,0.0
1,4,19,0,0,1.8,5.8,0.0,2,0.0,0.0
1,4,20,0,0,1.8,5.5,0.0,2,0.0,0.0
1,4,21,0,0,1.7,5.1,0.0,2,0.0,0.0
1,4,22,0,0,1.3,5.5,0.0,1,0.0,0.0
1,4,23,0,0,0.9,5.8,0.0,1,0.0,0.0
