year,start_ts,end_ts,yield,yield_x1,yield_x2,yield_x3,yield_x4,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,2021-10-04 12:00:00,2021-10-05 23:00:00,366.15,280.3,0.0,253.71,-81.16,206.18,66.82,164.48,102.74,21.24,65.46,100,9,63,400,697.43,1703.42,1201.32,320.81,0.0,0.61,0.1,0.17
2021,2021-09-26 12:00:00,2021-09-27 23:00:00,277.73,226.89,0.0,211.85,-76.41,215.62,61.52,159.19,102.59,21.24,63.36,100,9,63,400,674.07,1419.09,990.75,246.69,0.0,0.39,0.1,0.14
2021,2021-10-15 12:00:00,2021-10-16 23:00:00,19.63,12.35,0.0,99.84,-8.61,98.08,39.44,157.57,123.0,21.24,62.71,100,9,63,400,25.3,737.43,242.73,254.97,0.0,0.28,0.05,0.09
2021,2021-02-01 12:00:00,2021-02-02 23:00:00,68.8,52.75,0.0,126.28,-43.15,84.2,7.93,115.19,110.81,21.24,45.84,100,9,63,400,312.23,1487.05,552.56,263.11,0.0,0.31,0.03,0.07
2021,2021-10-21 12:00:00,2021-10-22 23:00:00,67.64,48.11,0.0,124.95,-9.67,138.76,66.78,187.22,126.22,21.24,74.51,100,9,63,400,18.6,697.1,305.84,240.84,0.0,0.57,0.08,0.14
2021,2021-04-29 12:00:00,2021-04-30 23:00:00,57.95,79.19,0.0,0.0,-0.0,177.1,0.0,0.0,0.0,21.24,0.0,100,9,63,400,257.28,631.51,430.19,112.52,0.0,0.19,0.07,0.07
2021,2021-02-21 12:00:00,2021-02-22 23:00:00,6.71,27.95,0.0,0.0,-0.0,88.9,0.0,0.0,0.0,21.24,0.0,100,9,63,400,249.94,542.12,354.31,75.49,0.0,0.19,0.03,0.05
2021,2021-08-02 12:00:00,2021-08-03 23:00:00,325.14,274.6,0.0,132.69,-0.0,414.01,157.77,153.03,0.0,21.24,60.91,100,9,63,400,477.49,967.03,699.3,128.16,0.0,0.78,0.26,0.3
2021,2021-08-22 12:00:00,2021-08-23 23:00:00,288.93,255.73,0.0,111.25,-0.0,382.22,147.15,142.74,0.0,21.24,56.81,100,9,63,400,496.41,862.23,668.29,107.57,0.0,0.74,0.23,0.28
2021,2021-09-28 12:00:00,2021-09-29 23:00:00,132.33,90.71,0.0,239.23,-111.97,83.0,23.95,161.84,142.89,21.24,64.41,100,9,63,400,472.09,1762.36,1042.38,317.64,0.0,0.14,0.04,0.05
2021,2021-06-30 12:00:00,2021-07-01 23:00:00,294.0,279.71,0.0,75.57,-0.0,406.36,103.7,100.59,0.0,21.24,40.03,100,9,63,400,529.76,771.66,677.24,67.63,0.0,0.83,0.2,0.23
2021,2021-08-20 12:00:00,2021-08-21 23:00:00,197.03,183.82,0.0,65.32,-0.0,291.67,79.97,77.57,0.0,21.24,30.87,100,9,63,400,569.59,938.08,713.48,107.47,0.0,0.6,0.14,0.19
2021,2021-06-22 12:00:00,2021-06-23 23:00:00,281.01,256.54,0.0,79.55,-0.0,373.78,87.68,85.04,0.0,21.24,33.85,100,9,63,400,521.19,1038.96,685.12,120.78,0.0,0.72,0.17,0.21
2021,2021-02-09 12:00:00,2021-02-10 23:00:00,104.25,101.25,0.0,62.61,-8.28,177.61,54.5,75.6,23.44,21.24,30.09,100,9,63,400,353.23,850.24,542.45,140.4,0.0,0.64,0.09,0.17
2021,2021-01-01 12:00:00,2021-01-02 23:00:00,38.86,59.67,0.0,2.83,-0.0,157.14,6.21,6.02,0.0,21.24,2.4,100,9,63,400,279.41,469.38,382.33,53.1,0.0,0.39,0.06,0.12
2021,2021-04-30 12:00:00,2021-05-01 23:00:00,107.66,122.36,0.0,38.07,-0.0,313.2,81.65,79.2,0.0,21.24,31.52,100,9,63,400,338.54,601.99,445.59,71.81,0.0,0.83,0.18,0.25
2021,2021-03-22 12:00:00,2021-03-23 23:00:00,122.81,131.56,0.0,44.01,-0.0,286.21,81.65,79.2,0.0,21.24,31.52,100,9,63,400,208.35,620.81,427.94,106.03,0.0,0.78,0.17,0.25
2021,2021-04-21 12:00:00,2021-04-22 23:00:00,39.12,57.04,0.0,20.2,-0.01,218.39,26.17,42.41,17.54,21.24,16.88,100,9,63,400,0.45,505.66,271.19,126.08,0.0,0.49,0.09,0.12
2021,2021-03-19 12:00:00,2021-03-20 23:00:00,50.31,71.54,0.0,1.91,-0.0,215.44,4.91,4.77,0.0,21.24,1.9,100,9,63,400,119.72,542.74,353.23,100.12,0.0,0.38,0.08,0.12
2021,2021-06-27 12:00:00,2021-06-28 23:00:00,246.06,215.6,0.0,121.17,-6.78,357.97,133.31,157.51,29.07,21.24,62.69,100,9,63,400,225.47,921.83,605.12,161.96,0.0,0.79,0.23,0.27
2021,2021-11-04 12:00:00,2021-11-05 23:00:00,75.56,77.01,0.0,60.34,-9.04,84.4,0.0,79.19,81.64,21.24,31.52,100,9,63,400,54.52,1494.62,687.28,450.22,0.0,0.18,0.03,0.05
2021,2021-05-22 12:00:00,2021-05-23 23:00:00,21.62,28.4,0.0,46.03,-0.04,307.43,80.17,79.2,1.48,21.24,31.52,100,9,63,400,25.73,597.41,192.62,174.87,0.0,0.82,0.15,0.22
